tracker,recording,event,stf,etf
pupil-labs,av1,validation1,2660,3540
pupil-labs,av1,baseline,3560,4300
pupil-labs,av1,vowels,4500,6000
pupil-labs,av1,eyebrows,6050,6950
pupil-labs,av1,mov_hor,7400,7960
pupil-labs,av1,mov_ver,8000,8600
pupil-labs,av1,mov_depth,8650,9300
pupil-labs,av1,validation2,9720,10490
pupil-labs,av2,validation1,3700,4480
pupil-labs,av2,baseline,4500,5200
pupil-labs,av2,vowels,5670,6830
pupil-labs,av2,eyebrows,6960,7680
pupil-labs,av2,mov_hor,7940,8570
pupil-labs,av2,mov_ver,8620,9280
pupil-labs,av2,mov_depth,9320,10000
pupil-labs,av2,validation2,10300,11040
pupil-labs,aw1,validation1,5610,6310
pupil-labs,aw1,baseline,6350,7080
pupil-labs,aw1,vowels,7220,8500
pupil-labs,aw1,eyebrows,8580,9340
pupil-labs,aw1,mov_hor,9560,10540
pupil-labs,aw1,mov_ver,10600,11220
pupil-labs,aw1,mov_depth,10270,10820
pupil-labs,aw1,validation2,12000,12580
pupil-labs,aw2,validation1,4020,4540
pupil-labs,aw2,baseline,4560,5340
pupil-labs,aw2,vowels,5400,6650
pupil-labs,aw2,eyebrows,6780,7610
pupil-labs,aw2,mov_hor,7780,8400
pupil-labs,aw2,mov_ver,8440,9220
pupil-labs,aw2,mov_depth,9280,9840
pupil-labs,aw2,validation2,10050,10680
pupil-labs,gh1,validation1,1740,2320
pupil-labs,gh1,baseline,2340,3100
pupil-labs,gh1,vowels,3130,4420
pupil-labs,gh1,eyebrows,4520,5300
pupil-labs,gh1,mov_hor,5660,6300
pupil-labs,gh1,mov_ver,6330,6950
pupil-labs,gh1,mov_depth,7000,7630
pupil-labs,gh1,validation2,7920,8500
pupil-labs,gh2,validation1,2210,2830
pupil-labs,gh2,baseline,2850,3500
pupil-labs,gh2,vowels,3590,4540
pupil-labs,gh2,eyebrows,5060,5830
pupil-labs,gh2,mov_hor,6000,6790
pupil-labs,gh2,mov_ver,6820,7550
pupil-labs,gh2,mov_depth,7630,8230
pupil-labs,gh2,validation2,9780,10420
pupil-labs,gl1,validation1,3810,5080
pupil-labs,gl1,baseline,5100,5700
pupil-labs,gl1,vowels,7000,8000
pupil-labs,gl1,eyebrows,8150,8980
pupil-labs,gl1,mov_hor,9350,9980
pupil-labs,gl1,mov_ver,10010,10520
pupil-labs,gl1,mov_depth,10560,11180
pupil-labs,gl1,validation2,11720,12670
pupil-labs,gl2,validation1,3350,4180
pupil-labs,gl2,baseline,4200,5200
pupil-labs,gl2,vowels,5280,6400
pupil-labs,gl2,eyebrows,6580,7290
pupil-labs,gl2,mov_hor,7620,8200
pupil-labs,gl2,mov_ver,8220,8880
pupil-labs,gl2,mov_depth,8920,9540
pupil-labs,gl2,validation2,10130,11090
pupil-labs,km1,validation1,4650,5150
pupil-labs,km1,baseline,5180,5960
pupil-labs,km1,vowels,6180,7400
pupil-labs,km1,eyebrows,7560,8250
pupil-labs,km1,mov_hor,8370,9000
pupil-labs,km1,mov_ver,9040,9660
pupil-labs,km1,mov_depth,9680,10270
pupil-labs,km1,validation2,10570,10940
pupil-labs,km2,validation1,2855,3260
pupil-labs,km2,baseline,3300,4000
pupil-labs,km2,vowels,4060,5350
pupil-labs,km2,eyebrows,5470,6180
pupil-labs,km2,mov_hor,6380,6980
pupil-labs,km2,mov_ver,7030,7590
pupil-labs,km2,mov_depth,7620,8260
pupil-labs,km2,validation2,8515,8980
pupil-labs,mn1,validation1,1335,2080
pupil-labs,mn1,baseline,2100,2760
pupil-labs,mn1,vowels,2780,3720
pupil-labs,mn1,eyebrows,3800,4700
pupil-labs,mn1,mov_hor,4860,5510
pupil-labs,mn1,mov_ver,5550,6190
pupil-labs,mn1,mov_depth,6260,7030
pupil-labs,mn1,validation2,7675,8310
pupil-labs,mn2,validation1,3900,4570
pupil-labs,mn2,baseline,4590,5260
pupil-labs,mn2,vowels,5360,6400
pupil-labs,mn2,eyebrows,6550,7330
pupil-labs,mn2,mov_hor,7520,8390
pupil-labs,mn2,mov_ver,8420,9010
pupil-labs,mn2,mov_depth,9070,9730
pupil-labs,mn2,validation2,10060,10740
pupil-labs,nh1,validation1,3410,4060
pupil-labs,nh1,baseline,4100,5080
pupil-labs,nh1,vowels,5200,7100
pupil-labs,nh1,eyebrows,7160,8040
pupil-labs,nh1,mov_hor,8400,9080
pupil-labs,nh1,mov_ver,9230,9970
pupil-labs,nh1,mov_depth,10080,10760
pupil-labs,nh1,validation2,11140,11680
pupil-labs,nh2,validation1,2680,3260
pupil-labs,nh2,baseline,3280,4140
pupil-labs,nh2,vowels,4560,5600
pupil-labs,nh2,eyebrows,5800,6520
pupil-labs,nh2,mov_hor,6730,7360
pupil-labs,nh2,mov_ver,7430,8030
pupil-labs,nh2,mov_depth,8100,8760
pupil-labs,nh2,validation2,10000,10560
pupil-labs,pt1,validation1,4420,5010
pupil-labs,pt1,baseline,5030,5870
pupil-labs,pt1,vowels,5950,6860
pupil-labs,pt1,eyebrows,6940,7660
pupil-labs,pt1,mov_hor,8240,8770
pupil-labs,pt1,mov_ver,8780,9470
pupil-labs,pt1,mov_depth,9500,10160
pupil-labs,pt1,validation2,10610,11220
pupil-labs,pt2,validation1,3765,4280
pupil-labs,pt2,baseline,4300,4960
pupil-labs,pt2,vowels,5150,6280
pupil-labs,pt2,eyebrows,6520,7410
pupil-labs,pt2,mov_hor,7720,8300
pupil-labs,pt2,mov_ver,8380,8980
pupil-labs,pt2,mov_depth,9030,9770
pupil-labs,pt2,validation2,10135,10620
pupil-labs,wr1,validation1,2570,3310
pupil-labs,wr1,baseline,3360,4300
pupil-labs,wr1,vowels,4450,6110
pupil-labs,wr1,eyebrows,6250,7180
pupil-labs,wr1,mov_hor,7550,8190
pupil-labs,wr1,mov_ver,8210,8880
pupil-labs,wr1,mov_depth,8890,9610
pupil-labs,wr1,validation2,10080,10600
pupil-labs,wr2,validation1,3340,3870
pupil-labs,wr2,baseline,3900,4800
pupil-labs,wr2,vowels,4880,6010
pupil-labs,wr2,eyebrows,6150,6900
pupil-labs,wr2,mov_hor,7020,7800
pupil-labs,wr2,mov_ver,7810,8510
pupil-labs,wr2,mov_depth,8530,9200
pupil-labs,wr2,validation2,9470,10130
smi,av1,validation1,80,440
smi,av1,baseline,450,820
smi,av1,vowels,900,1500
smi,av1,eyebrows,1590,2050
smi,av1,mov_hor,2260,2525
smi,av1,mov_ver,2535,2785
smi,av1,mov_depth,2795,3030
smi,av1,validation2,3245,3570
smi,av2,validation1,90,440
smi,av2,baseline,450,800
smi,av2,vowels,835,1350
smi,av2,eyebrows,1390,1740
smi,av2,mov_hor,1970,2230
smi,av2,mov_ver,2250,2520
smi,av2,mov_depth,2550,2830
smi,av2,validation2,3200,3610
smi,aw1,validation1,180,460
smi,aw1,baseline,480,790
smi,aw1,vowels,945,1530
smi,aw1,eyebrows,1640,2020
smi,aw1,mov_hor,2210,2610
smi,aw1,mov_ver,2640,2910
smi,aw1,mov_depth,2940,3300
smi,aw1,validation2,3560,3850
smi,aw2,validation1,65,315
smi,aw2,baseline,320,700
smi,aw2,vowels,725,1260
smi,aw2,eyebrows,1300,1610
smi,aw2,mov_hor,1720,2000
smi,aw2,mov_ver,2015,2240
smi,aw2,mov_depth,2280,2550
smi,aw2,validation2,2680,2895
smi,gh1,validation1,100,340
smi,gh1,baseline,350,700
smi,gh1,vowels,720,1255
smi,gh1,eyebrows,1300,1650
smi,gh1,mov_hor,1800,2130
smi,gh1,mov_ver,2150,2490
smi,gh1,mov_depth,2510,2850
smi,gh1,validation2,3100,3325
smi,gh2,validation1,60,325
smi,gh2,baseline,330,685
smi,gh2,vowels,720,1230
smi,gh2,eyebrows,1260,1580
smi,gh2,mov_hor,1690,2030
smi,gh2,mov_ver,2040,2330
smi,gh2,mov_depth,2340,2580
smi,gh2,validation2,2770,3000
smi,gl1,validation1,155,670
smi,gl1,baseline,680,920
smi,gl1,vowels,1100,1800
smi,gl1,eyebrows,1900,2450
smi,gl1,mov_hor,2950,3260
smi,gl1,mov_ver,3280,3610
smi,gl1,mov_depth,3620,3970
smi,gl1,validation2,4465,4980
smi,gl2,validation1,105,445
smi,gl2,baseline,450,780
smi,gl2,vowels,795,1300
smi,gl2,eyebrows,1385,1670
smi,gl2,mov_hor,1830,2135
smi,gl2,mov_ver,2145,2415
smi,gl2,mov_depth,2425,2700
smi,gl2,validation2,3030,3400
smi,km1,validation1,115,335
smi,km1,baseline,360,650
smi,km1,vowels,800,1424
smi,km1,eyebrows,1510,1800
smi,km1,mov_hor,1890,2135
smi,km1,mov_ver,2145,2425
smi,km1,mov_depth,2435,2740
smi,km1,validation2,2925,3130
smi,km2,validation1,48,250
smi,km2,baseline,260,580
smi,km2,vowels,610,1190
smi,km2,eyebrows,1230,1520
smi,km2,mov_hor,1595,1890
smi,km2,mov_ver,1900,2170
smi,km2,mov_depth,2180,2510
smi,km2,validation2,2565,2730
smi,mn1,validation1,90,375
smi,mn1,baseline,380,700
smi,mn1,vowels,740,1160
smi,mn1,eyebrows,1210,1510
smi,mn1,mov_hor,1640,1935
smi,mn1,mov_ver,1945,2200
smi,mn1,mov_depth,2215,2480
smi,mn1,validation2,2680,2940
smi,mn2,validation1,70,315
smi,mn2,baseline,320,580
smi,mn2,vowels,610,1070
smi,mn2,eyebrows,1105,1600
smi,mn2,mov_hor,1740,2000
smi,mn2,mov_ver,2030,2270
smi,mn2,mov_depth,2310,2580
smi,mn2,validation2,2730,2980
smi,nh1,validation1,100,360
smi,nh1,baseline,430,680
smi,nh1,vowels,740,1300
smi,nh1,eyebrows,1330,1660
smi,nh1,mov_hor,1930,2210
smi,nh1,mov_ver,2220,2515
smi,nh1,mov_depth,2530,2800
smi,nh1,validation2,2980,3200
smi,nh2,validation1,60,360
smi,nh2,baseline,370,740
smi,nh2,vowels,780,1380
smi,nh2,eyebrows,1420,1760
smi,nh2,mov_hor,2000,2210
smi,nh2,mov_ver,2240,2510
smi,nh2,mov_depth,2530,2790
smi,nh2,validation2,3000,3265
smi,pt1,validation1,70,315
smi,pt1,baseline,320,640
smi,pt1,vowels,710,1200
smi,pt1,eyebrows,1320,1640
smi,pt1,mov_hor,1740,2050
smi,pt1,mov_ver,2070,2420
smi,pt1,mov_depth,2435,2740
smi,pt1,validation2,2900,3140
smi,pt2,validation1,75,280
smi,pt2,baseline,290,590
smi,pt2,vowels,620,1080
smi,pt2,eyebrows,1190,1480
smi,pt2,mov_hor,1550,1780
smi,pt2,mov_ver,1805,2240
smi,pt2,mov_depth,2280,2380
smi,pt2,validation2,2520,2745
smi,wr1,validation1,45,310
smi,wr1,baseline,320,650
smi,wr1,vowels,675,1190
smi,wr1,eyebrows,1250,1590
smi,wr1,mov_hor,1730,2040
smi,wr1,mov_ver,2055,2320
smi,wr1,mov_depth,2340,2610
smi,wr1,validation2,2815,3110
smi,wr2,validation1,55,280
smi,wr2,baseline,290,610
smi,wr2,vowels,670,1190
smi,wr2,eyebrows,1220,1580
smi,wr2,mov_hor,1735,2000
smi,wr2,mov_ver,2020,2250
smi,wr2,mov_depth,2265,2550
smi,wr2,validation2,2775,3050
tobii,av1,validation1,240,665
tobii,av1,baseline,670,1080
tobii,av1,vowels,1360,1980
tobii,av1,eyebrows,2100,2440
tobii,av1,mov_hor,2630,3000
tobii,av1,mov_ver,3030,3330
tobii,av1,mov_depth,3340,3710
tobii,av1,validation2,3970,4385
tobii,av2,validation1,100,415
tobii,av2,baseline,420,720
tobii,av2,vowels,780,1330
tobii,av2,eyebrows,1400,1730
tobii,av2,mov_hor,1850,2050
tobii,av2,mov_ver,2070,2350
tobii,av2,mov_depth,2380,2690
tobii,av2,validation2,2790,3130
tobii,aw1,validation1,70,340
tobii,aw1,baseline,350,730
tobii,aw1,vowels,765,1120
tobii,aw1,eyebrows,1200,1600
tobii,aw1,mov_hor,1700,1945
tobii,aw1,mov_ver,1960,2200
tobii,aw1,mov_depth,2210,2490
tobii,aw1,validation2,2640,2890
tobii,aw2,validation1,110,370
tobii,aw2,baseline,380,700
tobii,aw2,vowels,745,1260
tobii,aw2,eyebrows,1335,1640
tobii,aw2,mov_hor,1720,1980
tobii,aw2,mov_ver,1990,2250
tobii,aw2,mov_depth,2270,2590
tobii,aw2,validation2,2680,2950
tobii,gh1,validation1,180,440
tobii,gh1,baseline,540,810
tobii,gh1,vowels,890,1480
tobii,gh1,eyebrows,1690,2000
tobii,gh1,mov_hor,2120,2370
tobii,gh1,mov_ver,2385,2660
tobii,gh1,mov_depth,2680,3030
tobii,gh1,validation2,3280,3540
tobii,gh2,validation1,60,310
tobii,gh2,baseline,590,860
tobii,gh2,vowels,920,1440
tobii,gh2,eyebrows,1460,1840
tobii,gh2,mov_hor,1910,2210
tobii,gh2,mov_ver,2235,2520
tobii,gh2,mov_depth,2535,2810
tobii,gh2,validation2,2930,3185
tobii,gl1,validation1,55,410
tobii,gl1,baseline,510,810
tobii,gl1,vowels,900,1480
tobii,gl1,eyebrows,1560,2000
tobii,gl1,mov_hor,2120,2370
tobii,gl1,mov_ver,2395,2680
tobii,gl1,mov_depth,2705,3000
tobii,gl1,validation2,3290,263650
tobii,gl2,validation1,100,510
tobii,gl2,baseline,530,860
tobii,gl2,vowels,920,1470
tobii,gl2,eyebrows,1610,1890
tobii,gl2,mov_hor,1950,2230
tobii,gl2,mov_ver,2250,2550
tobii,gl2,mov_depth,2560,2890
tobii,gl2,validation2,3070,3410
tobii,km1,validation1,55,255
tobii,km1,baseline,270,580
tobii,km1,vowels,610,1220
tobii,km1,eyebrows,1290,1580
tobii,km1,mov_hor,1670,1980
tobii,km1,mov_ver,2000,2265
tobii,km1,mov_depth,2280,2560
tobii,km1,validation2,2690,2890
tobii,km2,validation1,50,220
tobii,km2,baseline,290,580
tobii,km2,vowels,605,1190
tobii,km2,eyebrows,1220,1560
tobii,km2,mov_hor,1630,1900
tobii,km2,mov_ver,1910,2200
tobii,km2,mov_depth,2210,2510
tobii,km2,validation2,2655,2845
tobii,mn1,validation1,85,390
tobii,mn1,baseline,470,810
tobii,mn1,vowels,875,1260
tobii,mn1,eyebrows,1320,1615
tobii,mn1,mov_hor,1700,1985
tobii,mn1,mov_ver,2000,2300
tobii,mn1,mov_depth,2330,2620
tobii,mn1,validation2,2800,3080
tobii,mn2,validation1,50,340
tobii,mn2,baseline,420,650
tobii,mn2,vowels,690,1060
tobii,mn2,eyebrows,1110,1390
tobii,mn2,mov_hor,1490,1760
tobii,mn2,mov_ver,1780,2000
tobii,mn2,mov_depth,2060,2330
tobii,mn2,validation2,2470,2770
tobii,nh1,validation1,140,420
tobii,nh1,baseline,550,800
tobii,nh1,vowels,870,1430
tobii,nh1,eyebrows,1540,1810
tobii,nh1,mov_hor,1970,2200
tobii,nh1,mov_ver,2220,2470
tobii,nh1,mov_depth,2490,2740
tobii,nh1,validation2,2920,3190
tobii,nh2,validation1,110,370
tobii,nh2,baseline,390,850
tobii,nh2,vowels,880,1485
tobii,nh2,eyebrows,1570,1860
tobii,nh2,mov_hor,1960,2210
tobii,nh2,mov_ver,2225,2480
tobii,nh2,mov_depth,2490,2790
tobii,nh2,validation2,3030,3290
tobii,pt1,validation1,115,370
tobii,pt1,baseline,450,720
tobii,pt1,vowels,800,1310
tobii,pt1,eyebrows,1420,1705
tobii,pt1,mov_hor,1820,2080
tobii,pt1,mov_ver,2090,2390
tobii,pt1,mov_depth,2400,2720
tobii,pt1,validation2,2915,3145
tobii,pt2,validation1,90,290
tobii,pt2,baseline,310,630
tobii,pt2,vowels,645,1130
tobii,pt2,eyebrows,1220,1540
tobii,pt2,mov_hor,1620,1920
tobii,pt2,mov_ver,2100,2380
tobii,pt2,mov_depth,2390,2700
tobii,pt2,validation2,2845,3070
tobii,wr1,validation1,30,350
tobii,wr1,baseline,370,730
tobii,wr1,vowels,800,1330
tobii,wr1,eyebrows,1380,1740
tobii,wr1,mov_hor,1980,2220
tobii,wr1,mov_ver,2235,2600
tobii,wr1,mov_depth,2620,3000
tobii,wr1,validation2,3130,3390
tobii,wr2,validation1,45,320
tobii,wr2,baseline,330,660
tobii,wr2,vowels,725,1270
tobii,wr2,eyebrows,1320,1685
tobii,wr2,mov_hor,1800,2115
tobii,wr2,mov_ver,2130,2380
tobii,wr2,mov_depth,2395,2680
tobii,wr2,validation2,2775,3060
grip,av1,validation1,1950,2500
grip,av1,baseline,2550,2900
grip,av1,vowels,3150,3900
grip,av1,eyebrows,3980,4430
grip,av1,mov_hor,4580,4950
grip,av1,mov_ver,4990,5320
grip,av1,mov_depth,5340,5670
grip,av1,validation2,5900,6420
grip,av2,validation1,2390,2950
grip,av2,baseline,2950,3310
grip,av2,vowels,3330,3980
grip,av2,eyebrows,4040,4410
grip,av2,mov_hor,4480,4850
grip,av2,mov_ver,4870,5210
grip,av2,mov_depth,5220,5510
grip,av2,validation2,5680,6180
grip,aw1,validation1,870,1140
grip,aw1,baseline,1320,1720
grip,aw1,vowels,1860,2570
grip,aw1,eyebrows,2640,3040
grip,aw1,mov_hor,3160,3560
grip,aw1,mov_ver,3560,3920
grip,aw1,mov_depth,3920,4270
grip,aw1,validation2,4370,4710
grip,aw2,validation1,1020,1360
grip,aw2,baseline,1360,1750
grip,aw2,vowels,1770,2450
grip,aw2,eyebrows,2500,2940
grip,aw2,mov_hor,3030,3460
grip,aw2,mov_ver,3500,3800
grip,aw2,mov_depth,3820,4140
grip,aw2,validation2,4190,4560
grip,gh1,validation1,1140,1450
grip,gh1,baseline,1500,1840
grip,gh1,vowels,1880,2570
grip,gh1,eyebrows,2650,3040
grip,gh1,mov_hor,3140,3450
grip,gh1,mov_ver,3460,3760
grip,gh1,mov_depth,3770,4100
grip,gh1,validation2,4270,4590
grip,gh2,validation1,1000,1380
grip,gh2,baseline,1400,1760
grip,gh2,vowels,1780,2450
grip,gh2,eyebrows,2560,2920
grip,gh2,mov_hor,2990,3370
grip,gh2,mov_ver,3390,3670
grip,gh2,mov_depth,3680,4000
grip,gh2,validation2,4080,4420
grip,gl1,validation1,3140,3680
grip,gl1,baseline,3730,4140
grip,gl1,vowels,4260,4980
grip,gl1,eyebrows,5500,5900
grip,gl1,mov_hor,6450,6770
grip,gl1,mov_ver,6780,7110
grip,gl1,mov_depth,7130,7500
grip,gl1,validation2,7760,8400
grip,gl2,validation1,1700,2150
grip,gl2,baseline,2170,2500
grip,gl2,vowels,2550,3240
grip,gl2,eyebrows,3360,3790
grip,gl2,mov_hor,3920,4260
grip,gl2,mov_ver,4270,4580
grip,gl2,mov_depth,4610,4940
grip,gl2,validation2,5170,5680
grip,km1,validation1,1670,1960
grip,km1,baseline,1970,2310
grip,km1,vowels,2350,3170
grip,km1,eyebrows,3230,3570
grip,km1,mov_hor,3680,3940
grip,km1,mov_ver,3950,4250
grip,km1,mov_depth,4260,4600
grip,km1,validation2,4730,4970
grip,km2,validation1,960,1200
grip,km2,baseline,1240,1590
grip,km2,vowels,1600,2320
grip,km2,eyebrows,2360,2720
grip,km2,mov_hor,2790,3120
grip,km2,mov_ver,3130,3420
grip,km2,mov_depth,3430,3750
grip,km2,validation2,3870,4120
grip,mn1,validation1,2520,2900
grip,mn1,baseline,2910,3220
grip,mn1,vowels,3230,3680
grip,mn1,eyebrows,3740,4080
grip,mn1,mov_hor,4210,4590
grip,mn1,mov_ver,4610,4880
grip,mn1,mov_depth,4890,5250
grip,mn1,validation2,5330,5690
grip,mn2,validation1,1140,1520
grip,mn2,baseline,1530,1870
grip,mn2,vowels,1880,2330
grip,mn2,eyebrows,2370,2780
grip,mn2,mov_hor,2840,3190
grip,mn2,mov_ver,3200,3530
grip,mn2,mov_depth,3540,3900
grip,mn2,validation2,3990,4380
grip,nh1,validation1,3400,3780
grip,nh1,baseline,3960,4340
grip,nh1,vowels,4450,5290
grip,nh1,eyebrows,5440,5960
grip,nh1,mov_hor,6440,6700
grip,nh1,mov_ver,6760,7100
grip,nh1,mov_depth,7150,7560
grip,nh1,validation2,7840,8270
grip,nh2,validation1,1900,2300
grip,nh2,baseline,2310,2690
grip,nh2,vowels,2700,3480
grip,nh2,eyebrows,3500,3880
grip,nh2,mov_hor,4020,4280
grip,nh2,mov_ver,4300,4550
grip,nh2,mov_depth,4570,4930
grip,nh2,validation2,5000,5300
grip,pt1,validation1,2080,2380
grip,pt1,baseline,2400,2780
grip,pt1,vowels,3120,3540
grip,pt1,eyebrows,3700,4000
grip,pt1,mov_hor,4220,4550
grip,pt1,mov_ver,4790,5030
grip,pt1,mov_depth,5070,5430
grip,pt1,validation2,5790,6170
grip,pt2,validation1,780,1100
grip,pt2,baseline,1120,1600
grip,pt2,vowels,1640,2300
grip,pt2,eyebrows,2400,2850
grip,pt2,mov_hor,2900,3260
grip,pt2,mov_ver,3280,3550
grip,pt2,mov_depth,3570,3940
grip,pt2,validation2,4000,4360
grip,wr1,validation1,1150,1500
grip,wr1,baseline,1550,1890
grip,wr1,vowels,2080,2800
grip,wr1,eyebrows,2920,3320
grip,wr1,mov_hor,3500,3840
grip,wr1,mov_ver,3850,4200
grip,wr1,mov_depth,4220,4560
grip,wr1,validation2,4750,5070
grip,wr2,validation1,1050,1400
grip,wr2,baseline,1420,1780
grip,wr2,vowels,1840,2470
grip,wr2,eyebrows,2530,2900
grip,wr2,mov_hor,2990,3420
grip,wr2,mov_ver,3440,3750
grip,wr2,mov_depth,3770,4070
grip,wr2,validation2,4200,4490
